,Latitude,Temperature
evensk,61.92,3.6140000000000327
port-gentil,-0.72,82.4
carlsbad,50.23,40.64000000000002
tambun,-6.26,78.584
marawi,8.0,73.99400000000009
porbandar,21.64,80.97800000000007
akdagmadeni,39.66,36.806000000000026
kloulklubed,7.04,77.0
chuy,-33.69,68.52200000000005
ilo,-17.65,75.2
nikolskoye,59.7,19.27400000000001
mossendjo,-2.95,73.85
moerai,-22.43,74.87600000000009
arraial do cabo,-22.97,82.4
peterhead,-34.83,51.15200000000008
waddan,29.16,70.484
tonstad,58.66,45.89600000000005
biak,-0.91,81.59000000000003
zhezkazgan,47.8,9.446000000000048
sotnikovo,51.88,6.800000000000001
eureka,40.8,51.656000000000034
skibbereen,51.55,44.6
mwinilunga,-11.73,64.5260000000001
la ronge,55.1,41.0
praia da vitoria,38.73,68.0
allapalli,19.43,64.70600000000003
dwarka,28.58,73.00400000000005
sao felix do xingu,-6.64,74.13800000000005
salinas,36.67,59.37800000000007
elmadag,39.92,42.854000000000056
prince rupert,54.32,44.6
miles city,46.41,50.342
aklavik,68.22,3.3440000000000722
vangaindrano,-23.35,71.49199999999999
lakatoro,-16.11,75.2
flinders,-34.58,61.25
portland,43.66,40.29800000000002
haines junction,60.75,17.798000000000023
oranjestad,12.52,86.0
pangnirtung,66.15,30.2
bilma,18.69,80.33000000000004
luderitz,-26.65,60.458000000000006
sennoy,52.16,21.038000000000046
medowie,-32.73,64.99400000000009
eldorado,-24.52,77.41400000000004
zakamensk,50.38,-9.435999999999972
tsabong,-26.02,85.5680000000001
mahon,51.89,45.57200000000004
basco,40.33,37.65200000000008
mehamn,71.03,29.641999999999996
victoria,5.28,77.0
loa janan,-0.58,73.81400000000004
mayo,63.59,6.800000000000001
constitucion,23.99,70.358
phalaborwa,-23.95,82.86800000000008
jaisalmer,26.91,70.68200000000002
orsha,54.51,23.9
karasjok,69.47,35.6
sucre,-19.05,57.2
mayya,61.74,-18.39999999999995
panjab,34.38,13.712000000000057
tuktoyaktuk,69.44,3.1999999999999993
sao filipe,14.9,74.33600000000007
dudinka,69.41,-9.399999999999949
nouadhibou,20.93,69.80000000000001
wewak,-3.55,76.53200000000001
srednekolymsk,67.46,-23.403999999999954
axim,4.87,79.82600000000009
indramayu,-4.05,74.066
kotovo,50.32,19.72400000000001
biloela,-24.4,63.96800000000009
launceston,-41.43,43.556000000000026
sattahip,12.67,73.4
lishu,43.31,26.708000000000006
roma,41.89,58.946000000000055
manhattan,39.18,38.858000000000004
vilyuysk,63.75,-9.45399999999995
saint-georges,46.12,25.34000000000002
vostok,46.45,20.94800000000002
sao joao da barra,-21.64,85.06400000000004
birjand,32.86,35.6
kalianget,-7.35,69.24199999999999
thinadhoo,0.53,83.37200000000004
kaitangata,-46.28,58.190000000000026
mombetsu,44.35,43.070000000000064
saint-augustin,45.63,34.84400000000007
esperance,-33.86,53.6
ambikapur,23.12,59.774000000000015
bom jesus,-9.08,91.5260000000001
beaverlodge,55.21,42.8
nishihara,35.74,56.96600000000001
ostrovnoy,68.05,23.93600000000007
brownsville,25.91,64.36400000000003
lavrentiya,65.58,17.618000000000087
airai,-8.93,68.59400000000008
las juntas,10.28,78.00800000000001
pasighat,28.06,65.53399999999999
half moon bay,37.46,58.87400000000001
mragowo,53.86,30.2
mesaria,36.4,60.8
