,Latitude,Wind Speed (mph)
stralsund,54.31,9.171437599999999
antalaha,-14.9,11.38600424
tura,64.27,0.44738720000000004
olovyannaya,50.94,9.88725712
carnarvon,-30.97,20.37848696
chaihe,44.77,4.94362856
camacha,33.08,11.4083736
lorengau,-2.02,11.743914
starkville,33.45,9.171437599999999
shenzhen,22.54,2.236936
chumikan,54.72,23.979953920000003
riverton,43.02,3.355404
yebaishou,41.4,4.54098008
sri aman,1.24,2.236936
rincon,8.46,8.0529696
vao,59.1,6.598961200000001
neiafu,-18.65,12.57158032
hualmay,-11.1,12.12419312
borogontsy,62.67,5.994988480000001
santo antonio do sudoeste,-26.07,9.52934736
mayumba,-3.44,12.79527392
salamiyah,35.01,3.98174608
sisimiut,66.94,17.850749280000002
oussouye,12.49,6.9345016
lompoc,34.64,3.355404
bundaberg,-24.87,7.24767264
new norfolk,-42.78,8.0529696
kalmunai,7.42,8.76878912
quatre cocos,-20.21,9.03722144
kununurra,-15.77,6.9345016
tarrafal,15.28,21.921972800000002
meulaboh,4.14,3.0198636000000003
inuvik,68.36,2.236936
leningradskiy,69.38,21.07193712
kahului,20.89,19.461343199999998
atambua,-9.11,1.0066212
port blair,11.67,11.31889616
gorontalo,0.54,3.42251208
yatou,3.63,2.236936
moose factory,51.26,12.7505352
panama city,30.16,13.8690032
